Beledros Witherbloom	$ 17.40
Professor Onyx	$ 15.87
Galazeth Prismari	$ 13.99
Wandering Archaic	$ 8.99
Shadrix Silverquill	$ 5.69
Mila, Crafty Companion	$ 5.49
Tanazir Quandrix	$ 5.14
Velomachus Lorehold	$ 4.99
Jadzi, Oracle of Arcavios	$ 4.99
Rowan, Scholar of Sparks	$ 4.49
Kasmina, Enigma Sage	$ 3.99
Extus, Oriq Overlord	$ 3.85
Body of Research	$ 3.49
Prismari Command	$ 3.08
Magma Opus	$ 2.99
Ecological Appreciation	$ 2.99
Crackle with Power	$ 2.99
Harness Infinity	$ 2.99
Elite Spellbinder	$ 2.93
Vanishing Verse	$ 2.79
Blex, Vexing Pest	$ 2.79
Sedgemoor Witch	$ 2.48
Blot Out the Sky	$ 2.45
Double Major	$ 2.35
Dragon's Approach	$ 2.11
Necroblossom Snarl	$ 1.99
Hofri Ghostforge	$ 1.98
Solve the Equation	$ 1.84
Frostboil Snarl	$ 1.83
Clever Lumimancer	$ 1.80
Vineglimmer Snarl	$ 1.79
Mavinda, Students' Advocate	$ 1.79
Archmage Emeritus	$ 1.74
Culling Ritual	$ 1.74
Shineshadow Snarl	$ 1.64
Strict Proctor	$ 1.58
Furycalm Snarl	$ 1.50
Valentin, Dean of the Vein	$ 1.29
Rushed Rebirth	$ 1.29
Fracture	$ 1.14
The Biblioplex	$ 1.13
Strixhaven Stadium	$ 1.12
Witherbloom Command	$ 0.99
Baleful Mastery	$ 0.99
Rip Apart	$ 0.96
Mascot Exhibition	$ 0.79
Storm-Kiln Artist	$ 0.69
Augmenter Pugilist	$ 0.69
Daemogoth Titan	$ 0.62
Quandrix Command	$ 0.49
Conspiracy Theorist	$ 0.49
Multiple Choice	$ 0.49
Plumb the Forbidden	$ 0.49
Witherbloom Apprentice	$ 0.39
Codie, Vociferous Codex	$ 0.39
Semester's End	$ 0.39
Selfless Glyphweaver	$ 0.39
Pestilent Cauldron	$ 0.39
Test of Talents	$ 0.39
